,latitude,longitude,time,u100,v100,100m_wind_direction,100m_wind_speed
16782,34.24,127.09,2019-12-01 06:00:00,-6.637411514810077,-1.6051124390089906,76.4052714908841 degree,6.828734696764459 meter / second
16783,34.24,127.09,2019-12-01 07:00:00,-6.07614881393174,-3.0072951242979142,63.66760854263365 degree,6.779631875970117 meter / second
16784,34.24,127.09,2019-12-01 08:00:00,-5.910628982573517,-4.091328539168795,55.309075762370874 degree,7.188498047927336 meter / second
16785,34.24,127.09,2019-12-01 09:00:00,-6.29809586052572,-5.516770178953033,48.78350254546857 degree,8.37261994095974 meter / second
16786,34.24,127.09,2019-12-01 10:00:00,1.3045309389053932,-7.407390908643548,350.0119426734368 degree,7.521385580065449 meter / second
16787,34.24,127.09,2019-12-01 11:00:00,0.7154308118440804,-10.723453278118303,356.1830850096828 degree,10.74729228478141 meter / second
16788,34.24,127.09,2019-12-01 12:00:00,0.8049619933514833,-9.917696640244928,355.35980488806 degree,9.950310068468516 meter / second
16789,34.24,127.09,2019-12-01 13:00:00,0.9449014871361627,-8.912577535268863,353.9481722563895 degree,8.962526270118895 meter / second
16790,34.24,127.09,2019-12-01 14:00:00,1.488107479139059,-7.374994507739362,348.59217843049055 degree,7.52362996555887 meter / second
16791,34.24,127.09,2019-12-01 15:00:00,3.6308369323582386,-6.428853465947842,330.54345165277067 degree,7.3833010040229405 meter / second
16792,34.24,127.09,2019-12-01 16:00:00,6.060969001844878,-7.590970513767276,321.394575052827 degree,9.713813802117514 meter / second
16793,34.24,127.09,2019-12-01 17:00:00,7.043554909816875,-10.266580957674636,325.54729562941367 degree,12.450475907694969 meter / second
16794,34.24,127.09,2019-12-01 18:00:00,6.191127778322027,-12.226978550851094,333.1446366575154 degree,13.705074521887262 meter / second
16795,34.24,127.09,2019-12-01 19:00:00,5.089668536920033,-12.799314966825069,338.31467689642545 degree,13.774149318041601 meter / second
16796,34.24,127.09,2019-12-01 20:00:00,4.653298072430172,-12.25106818229267,339.2018235378871 degree,13.105031650403069 meter / second
16797,34.24,127.09,2019-12-01 21:00:00,5.393623136323315,-11.623076410919195,335.106608202099 degree,12.813550475599977 meter / second
16798,34.24,127.09,2019-12-01 22:00:00,6.65232621751562,-8.858583533761884,323.0953944251749 degree,11.078264590127953 meter / second
16799,34.24,127.09,2019-12-01 23:00:00,6.969070985705676,-9.522294413824591,323.80076402669044 degree,11.80008649575755 meter / second
16800,34.24,127.09,2019-12-02 00:00:00,6.668878200651443,-9.258969821859788,324.2362517093694 degree,11.41062919462526 meter / second
16801,34.24,127.09,2019-12-02 01:00:00,7.209074741175099,-9.241525605988302,322.04312967712565 degree,11.720774468864517 meter / second
16802,34.24,127.09,2019-12-02 02:00:00,7.988522674298368,-8.637623466056402,317.23574708524677 degree,11.765416850207533 meter / second
16803,34.24,127.09,2019-12-02 03:00:00,8.606964953282274,-8.522159370526094,314.7163332941872 degree,12.11226841032162 meter / second
16804,34.24,127.09,2019-12-02 04:00:00,8.452730564971203,-8.630978050486313,315.5977892904465 degree,12.080663728122513 meter / second
16805,34.24,127.09,2019-12-02 05:00:00,8.799569847953661,-8.895133319397377,315.30943329788084 degree,12.512227071104032 meter / second
16806,34.24,127.09,2019-12-02 06:00:00,9.351804194394278,-9.232388159579429,314.63184084057036 degree,13.141279725332417 meter / second
16807,34.24,127.09,2019-12-02 07:00:00,8.413607695741078,-9.320439915883117,317.92727552856417 degree,12.556249228309415 meter / second
16808,34.24,127.09,2019-12-02 08:00:00,7.29183465685421,-9.276414037731273,321.83046475161325 degree,11.799267352777374 meter / second
16809,34.24,127.09,2019-12-02 09:00:00,6.394265753170755,-9.662678817742737,326.5054505972862 degree,11.586802684823219 meter / second
16810,34.24,127.09,2019-12-02 10:00:00,5.096439802748323,-8.665035805283022,329.5375995735217 degree,10.05268840509215 meter / second
16811,34.24,127.09,2019-12-02 11:00:00,5.739710056435962,-8.78714531638342,326.8476739585982 degree,10.495627391594615 meter / second
16812,34.24,127.09,2019-12-02 12:00:00,7.284311028156109,-9.286382161086408,321.8890844428571 degree,11.802460794116648 meter / second
16813,34.24,127.09,2019-12-02 13:00:00,7.453592673863383,-9.977505380375735,323.23880863917395 degree,12.454182324155072 meter / second
16814,34.24,127.09,2019-12-02 14:00:00,7.455097399603003,-10.176037170532165,323.773009224564 degree,12.61468230807339 meter / second
16815,34.24,127.09,2019-12-02 15:00:00,6.8494452894058675,-10.177698524424686,326.0600112992026 degree,12.26786240657437 meter / second
16816,34.24,127.09,2019-12-02 16:00:00,5.802156174630202,-9.508172905738151,328.60727668211786 degree,11.13868790658094 meter / second
16817,34.24,127.09,2019-12-02 17:00:00,5.456821617387364,-8.679157313369462,327.84131100968676 degree,10.252057053791725 meter / second
16818,34.24,127.09,2019-12-02 18:00:00,5.3582620814422395,-8.186565884236565,326.794494905707 degree,9.78421348450491 meter / second
