,latitude,longitude,time,u100,v100,u10,v10,mdww,mpww,mwd,p140122,mwp,mp1,wmb,dwi,pp1d,swh,shww,p140121,p140124,p140127,10m_wind_direction,10m_wind_speed,100m_wind_direction,100m_wind_speed
366,35.89,126.42,2022-01-16 06:00:00,6.49298651068923,-8.805438306995123,5.5260847882694915,-7.578906244650472,318.1264369495075,4.535751741572378,313.4065355458624,309.0433753963894,4.864440851376138,4.240857159225704,13.0,322.83789340229504,5.6245882314497155,1.3918793253835826,1.2644984981791887,0.5775140039327753,0.2207056136078388,0.01989667672799391,323.90270819154966 degree,9.379628614841069 meter / second,323.5955423810191 degree,10.94050353531726 meter / second
367,35.89,126.42,2022-01-16 07:00:00,6.031604286770596,-8.848345657325815,5.111213618464442,-7.610563470903525,319.9328662870481,4.449866227700677,313.8661974285133,294.07055086902403,4.907732655643942,4.280746452844726,13.0,324.8648774501737,5.6751649387479475,1.3988826838838928,1.2271143442478483,0.7244872450801266,0.019412284859107287,0.008483079225113682,326.1149023856288 degree,9.167615884090448 meter / second,325.7191292527536 degree,10.70856998593678 meter / second
368,35.89,126.42,2022-01-16 08:00:00,5.405676013082751,-8.828291134888644,4.565484922681279,-7.5838860330498274,323.67750096243617,4.2214179579120525,314.3696366333214,298.62749746430916,4.950431421497119,4.316740093304255,13.0,328.5178432817164,5.770143290244045,1.3775997502595738,1.1238098561899286,0.8399732973123989,0.018794309141005328,0.007813362444183652,328.9521395455967 degree,8.85206077371356 meter / second,328.5203293120706 degree,10.351814213980642 meter / second
369,35.89,126.42,2022-01-16 09:00:00,5.096590753342569,-8.572712569875396,4.307877506069655,-7.332762418053694,325.5004023000151,4.068599320101232,314.6158840704559,301.10340287439385,4.988517666347638,4.349715974274038,13.0,328.60024100723996,5.861200966755783,1.3367316668897988,1.0343925851880083,0.8670613950134141,0.01794091410172166,0.007202499562183842,329.5664637088685 degree,8.50454074520909 meter / second,329.2679580179081 degree,9.973296251127637 meter / second
370,35.89,126.42,2022-01-16 10:00:00,3.403767124699511,-7.548066388608779,2.841745090570479,-6.540976062555963,334.1097676533999,3.436513125482615,314.5447459219504,305.3668693025353,5.0463059651952245,4.40672419445308,13.0,336.03251584946156,5.946377630790983,1.2493867498361475,0.7529274074306528,0.9127168281539693,0.009887611489631187,0.006226336617858562,336.51733067346885 degree,7.131611529711327 meter / second,335.7272166924639 degree,8.280032418175109 meter / second
371,35.89,126.42,2022-01-16 11:00:00,4.064809443747536,-7.063026776174878,3.4352983978658234,-6.118761146124783,328.9101063079564,3.415881409859804,313.997529394985,304.19828463699963,5.0554651140433595,4.406943667870516,13.0,328.60573418894154,6.014303324895002,1.1708642454387312,0.696089430450402,0.8431438135027152,0.012084858487327044,0.005493707048416924,330.68853748520047 degree,7.017158473748883 meter / second,330.07934443913086 degree,8.149173151611299 meter / second
372,35.89,126.42,2022-01-16 12:00:00,4.525783364813144,-6.822838891171552,3.803811968781766,-5.920636707664658,327.2793783041584,3.415941385777312,313.31898090154795,303.47792422673797,5.021002992837786,4.361512670461232,13.0,327.0346842222931,6.02890783921174,1.1103806947542347,0.6773387576321749,0.7921183185648119,0.012575315406455567,0.0048828441664171066,327.2806053633802 degree,7.037252625705121 meter / second,326.4425500244536 degree,8.187419959920367 meter / second
373,35.89,126.42,2022-01-16 13:00:00,4.598052969798629,-6.774801314170887,3.879216417607719,-5.852342466759194,325.632178300322,3.318120664321485,312.8045973662005,303.88346045770004,4.953001254627171,4.286507630052425,13.0,326.9248205882617,6.033514632318362,1.0672387936895538,0.6497987069304039,0.763425147042449,0.012575315406455567,0.004454631315580028,326.4616521175736 degree,7.02126999643728 meter / second,325.8352888353724 degree,8.187797259310074 meter / second
374,35.89,126.42,2022-01-16 14:00:00,4.323673452565601,-7.438932475811152,3.6201419883730237,-6.3976292964887636,328.66302630738096,3.4353735830499597,312.92498500213287,302.23463551865666,4.857785642500874,4.193999584603084,13.0,331.626984124804,6.026457417346515,1.043318231539144,0.6897610783742503,0.7270434737585691,0.01220256814791787,0.0037240311909290946,330.4963537215608 degree,7.350856319591119 meter / second,329.8338906494403 degree,8.604177386833584 meter / second
375,35.89,126.42,2022-01-16 15:00:00,4.230580402075824,-7.722027711145168,3.5585274582039568,-6.639149033857568,329.6403649763239,3.4700396633696826,313.63636648718784,301.96783536670785,4.755585355713408,4.106758901172211,13.0,332.5882909225784,6.00401155306106,1.0372850352553271,0.7209926677871098,0.7099623177832399,0.011967148826736163,0.003661118402417479,331.8090698917385 degree,7.532689928874239 meter / second,331.2834833063345 degree,8.804971465605208 meter / second
376,35.89,126.42,2022-01-16 16:00:00,4.024795764151053,-8.053626907722576,3.377498100516746,-6.9005879248238,330.62319431194624,3.556644888251482,314.7307995411186,301.34352301114774,4.6666954866764705,4.039161088601874,13.0,335.0272635980746,5.328479253256,1.0458042722189078,0.7635332567434625,0.6955562848434901,0.011476691907607639,0.003661118402417479,333.920527140151 degree,7.682812449046134 meter / second,333.4464335058658 degree,9.00332645814431 meter / second
377,35.89,126.42,2022-01-16 17:00:00,3.899446788272273,-8.2975458666677,3.257789870473988,-7.091598379856271,332.1331276487963,3.5312750751455257,315.86353775193686,302.49609966756645,4.612201845687925,4.0072277063649135,13.0,337.3838385480473,5.249869719819602,1.0567792322929868,0.7770396007578416,0.7034825753192809,0.010986234988479116,0.004211097940696386,335.3265531122005 degree,7.804099078134708 meter / second,334.82873652518924 degree,9.168148813365825 meter / second
378,35.89,126.42,2022-01-16 18:00:00,3.530341009137366,-8.238781452084364,2.9541182574978726,-7.048914479290356,334.8949329885619,3.4564251300953277,316.6788903771153,303.92614848201185,4.588941561203092,3.999655873463366,13.0,339.3174385069993,5.236147357374345,1.0573249485397642,0.7624492334711587,0.7180273183423571,0.01025054960978633,0.004211097940696386,337.2620078177452 degree,7.642905862015539 meter / second,336.80473101968215 degree,8.96330449421453 meter / second
379,35.89,126.42,2022-01-16 19:00:00,3.2673939717890477,-7.93143423612865,2.733772961512305,-6.754751264556922,337.62928499493034,3.3321550290183968,317.0236367891034,305.41489332988607,4.582286352327829,4.005526787379783,13.0,341.9266998152441,5.248889551073512,1.0408018732901148,0.7132287173233126,0.7276379455442534,0.009769901829040362,0.004089331253254558,337.96590874086434 degree,7.286986980304623 meter / second,337.61054325955985 degree,8.578083259616747 meter / second
380,35.89,126.42,2022-01-16 20:00:00,3.1351038474088377,-6.899792291221161,2.6219865996341407,-5.9000061557244665,338.20031432959365,3.077257379608669,316.5694470717222,306.83427013825354,4.588546202260007,4.025992683555705,13.0,340.54791120815054,5.264964318509384,1.0030564995546771,0.6194167573796203,0.7283711274132642,0.009279444909911838,0.0038457978783709157,336.0394439750868 degree,6.456383381293866 meter / second,335.56406592901646 degree,7.5786548803882505 meter / second
381,35.89,126.42,2022-01-16 21:00:00,2.9762740375819803,-6.145182586492265,2.5019849670667678,-5.275754109947954,339.28197566544617,2.8778374538939993,315.65012330642037,307.0530462628516,4.587623698059476,4.036472539238281,13.0,340.185361215847,5.2777065122085505,0.953699496790587,0.5282416108009911,0.7122213105688403,0.00890669765137414,0.0036002350586965687,334.62772047251156 degree,5.838964822985391 meter / second,334.1578688209228 degree,6.827992103694343 meter / second
382,35.89,126.42,2022-01-16 22:00:00,1.2528276949620227,-4.553879550314887,1.0631389863567495,-4.031518408451521,4.45563088562389,3.528336255187625,314.64324489680416,306.7595660957079,4.582681711270913,4.025059921531601,13.0,9.457370509537526,5.288390351540929,0.8869402092681503,0.3686851042883902,0.6755424013921183,0.00403155587523657,0.0032349349963711055,345.22702586964135 degree,4.1693410968635245 meter / second,344.61777379845284 degree,4.723070631701369 meter / second
383,35.89,126.42,2022-01-16 23:00:00,1.5378230863737095,-3.9042063001990948,1.2746822066038792,-3.53745225940105,2.089153546778931,3.521978807931759,313.21500976142454,305.6710214757569,4.566603780918792,4.014415460785948,13.0,10.341772763489985,5.299662292120962,0.8284273005859056,0.3436646752465684,0.6384275462392277,0.0054931174942395855,0.0028696349340456284,340.1839278602574 degree,3.760104149538165 meter / second,338.50107572232076 degree,4.1961561791118145 meter / second
