,latitude,longitude,time,u100,v100,u10,v10,mdww,mpww,mwd,p140122,mwp,mp1,wmb,dwi,pp1d,swh,shww,p140121,p140124,p140127,10m_wind_direction(degree),10m_wind_speed(meter/second),100m_wind_direction(degree),100m_wind_speed(meter/second)
3278,35.89,126.42,2021-11-14 14:00:00,4.3749689555602185,-2.045850516911812,3.468689776368451,-1.4913731360172449,357.34127083099435,3.215998788487005,266.8337830867593,264.79176212210444,4.074355214547254,3.6231888547427613,13.0,287.6826867908742,4.913838248795462,0.5319441164265513,0.10823964141994313,0.4731347481898433,0.004023011530807974,0.0005482686203897302,293.26542596302534,3.7757121971247924,295.06202679045066,4.829685051808658
3279,35.89,126.42,2021-11-14 15:00:00,3.857136845288537,-2.3007185369020102,3.1139219161466674,-1.763886883612702,359.30729218082934,3.162040853515647,267.5475946333175,265.381110364792,4.05930509250451,3.6112509582345136,13.0,296.0966010901503,4.869921994889987,0.5220186965027839,0.09442181485569501,0.46549814954870067,0.0037778817959558952,0.0005482686203897302,299.5294656785475,3.5787996085334903,300.8153797283268,4.49119253977459
3280,35.89,126.42,2021-11-14 16:00:00,3.1675044104822763,-2.39344194988892,2.607380028921232,-1.9027785588374586,0.6237211106584937,3.0777845492998996,267.99784499345424,265.89406161305703,4.05674502019827,3.615743714984929,13.0,302.9837084865551,4.834853337925175,0.5091670571592604,0.07373478140749623,0.456885763303412,0.0035471714572715696,0.0005482686203897302,306.12071499569015,3.227847093526712,307.0755650435201,3.970094275695824
3281,35.89,126.42,2021-11-14 17:00:00,3.1841171777132145,-2.254599561856165,2.6667698655748344,-1.7951281005331756,359.47753425302176,3.0986190922535,268.2559153218252,266.2651327288233,4.054417681738052,3.6177333644029708,13.0,295.49246886239547,4.8075062201085785,0.4959595262646853,0.07448920297278572,0.44710667448794883,0.003417396891761626,0.0005482686203897302,303.94634968844787,3.214676719868091,305.30142544904936,3.901515267909428
3282,35.89,126.42,2021-11-14 18:00:00,3.840524078057599,-2.4109186141168193,3.2452708670525183,-1.972036196347906,357.00627836635766,3.167408396785049,268.9587451522825,266.59800534737826,4.021757365346324,3.5765283667777283,13.0,296.83254398577884,4.785306795057459,0.48718086800541693,0.10923230137427131,0.43705181961044437,0.0031722671569095473,0.0004873498847908636,301.2855684463085,3.797460962307068,302.11886423203543,4.534551108768666
3283,35.89,126.42,2021-11-14 19:00:00,3.9953064459165835,-2.748800789189539,3.316287285484868,-2.2949875712607546,358.0881392767417,3.1865479260746272,270.325968806844,267.1655258773737,3.9663667099931317,3.51568360392924,13.0,303.31872726740096,4.767129004979369,0.48302879990981706,0.1209853952335167,0.4286939866531938,0.002927137422057413,0.0004873498847908636,304.6845984527929,4.032955406660224,304.5282632158195,4.849575174737643
3284,35.89,126.42,2021-11-14 20:00:00,3.178039336043359,-2.8531753116617153,2.5941822874426537,-2.4387724491357057,0.8818300588211798,3.084564603955987,271.28686896567234,267.8967542525601,3.939602317700623,3.495209469595202,13.0,314.20958370047174,4.7508815996883325,0.4744478591789105,0.09489829163377261,0.42139679239610195,0.0026820076872053344,0.0008550379675125452,313.231357148072,3.5605326566603157,311.9168121400944,4.2708949156488085
3285,35.89,126.42,2021-11-14 21:00:00,1.8437504947877674,-2.7313241249616396,1.2348149151490855,-2.3085379785997553,7.109394893214642,3.0195184545991527,271.7096650355568,268.4806455670746,3.931922100781903,3.4929630912199943,13.0,6.596437550045124,4.734955925195138,0.46207074190345554,0.05876546929622761,0.4057205524077564,0.08239242970264032,0.0025020194978102595,331.85809904770105,2.6180365683679985,325.9791122134799,3.295382733860758
3286,35.89,126.42,2021-11-14 22:00:00,0.883451510950612,-2.365285101966194,0.33642579878586054,-1.728881664653617,9.602617498871268,2.931448369639357,271.8798816351207,268.88991518005207,3.957290089998281,3.5484165459679837,13.0,50.61570850872516,4.719834577696549,0.445264751992694,0.03887256381149129,0.39392625006199167,0.07219791661202662,0.001770994670623957,348.98833676010884,1.7613103441654359,339.5189672328769,2.5248881531236482
3287,35.89,126.42,2021-11-14 23:00:00,0.05038201273576348,-2.0943968064337546,-0.3288032181224807,-1.4111998925948244,28.301787041296052,3.5721635346395706,271.9018450673225,269.06999380976214,3.9525578351291704,3.543089420106776,13.0,57.557737016744085,4.705356691793646,0.4327690042002219,0.010681021108571498,0.3841471612465285,0.07361101743646808,0.0015251440590999948,13.115663697949401,1.448998513838901,358.6219802934554,2.0950027040572565
